Level	Email ID	Sender Name	Relationship	Email Address	Subject Line	Email Body	Email Tags	Happy Item	Neutral Items	Notes	Dynamic	Eric Notes for Himself
1	1-1	Claire	Wife	clair.wife@TOJam.com	Anniversary Present	Hey Freddie. Last week you asked me what kind of jewelry I wanted for our anniversary and I said I’d think about it. I know how much shopping makes you anxious but you know me, I’m not that picky and anything you pick will be amazing. Something I don’t have yet would be perfect, like an amethyst ring or some sapphire earrings. Love you, happy almost three years together! Claire. 	Jewelry, Something New	4-1-4	4-1-1; 4-1-2; 4-1-3; 4-1-5; 4-1-6; 4-1-7		FALSE	
2	2-1	Lucy	Daughter	lucy.daughter@TOJam.com	DAAAAAADDY	DAAAAADDY! Cantnot wait for Christmas with Gramma Jean and Granpa George. At school everyone has been taking about the Lulu doll. I want the one that looks like me with the yellow dress! Love you daddy!	Lu-lu Doll, Looks Like Lucy, Red Dress	1-1-7	1-1-1; 1-1-2; 1-1-4; 1-1-5; 1-1-7; 1-1-8		FALSE	
2	2-2	Claire	Wife	clair.wife@TOJam.com	Christmas Shopping	Thanks for agreeing to do all the shopping for Christmas; I know it's not your favourite but I really appreciate you giving me so much time to work on my game, it’s about a guy who hates shopping (just like you :P). When in doubt, you can never go wrong with jewels, or maybe some of my favourite flowers (Camillas or Gardenias in case you forgot ^_^). Love you! Claire. 	Favourite Flowers, Jewelery	4-1-8	4-1-1; 4-1-2; 4-1-3; 4-1-4; 4-1-5; 4-1-6; 4-1-7; 4-1-9	Six year older model of 1-1	FALSE	
2	2-3	George	FIL	george.father-in-law@TOJam.com	Farm Christmas	Hi Sport. Jean told me that you kids are coming down to the farm for Christmas. I don’t want anything too fancy, maybe just something that can help me with all the fixing-up I plan to do here. Might be good if it's something small enough that Jean won’t have to see it all the time hahaha! You know how she is about all those old cars sitting in the field. I keep telling her they’re vintage, isn’t that what kids are into these days? Hahaha.	Help with DIY, Small	6-2-3	6-3-4		FALSE	Vintage/rustic bench vice
2	2-4	Jean	mother-in-law	jean.mother-in-law@TOJam.com	Hi...	Hi Fred... It’s nice that you and Clair are coming to the farm for Christmas.... We’ve had a lot of snow, hopefully Lucy has fun.... I’m not very picky about gifts, I like things that are cozy, maybe with some colours that remind you that spring is coming... Looking forward to seeing you...	Cozy, Spring Colours	4-2-1	4-2-2; 4-2-3; 4-2-4		FALSE	Scarf/Sweater with pastel colours?
3	3-4	George	father-in-law	george.father-in-law@TOJam.com	Surprise for Jean	Hey Sport. This year for the holidays I’m going to surprise Jean by saying goodbye to all my cars in the back field. She’s always teasing me about them and I think it’s time hahaha. I think I only kept them around for nostalgia, but I think that after all of these decades in the snow they probably aren’t going to run again hahaha. The only one I’ll really miss is my yellow Autoblitz; it was the first car I ever owned and has a lot of memories. I guess I’ll probably have to find another hobby rather than staring at all those cars hahaha.	???	1-4-4	1-4-1; 1-4-2; 1-4-3	Older model of 2-4	FALSE	
3	3-5	Emma	Grandaughter	emma.grandaughter@TOJam.com	HI!	Grampa! I wanna go on an adventa to da moon in a big spacship woooooooosh! Lovya, Emma.	Adventure, Moon, Spaceship	6-3-3	6-2-2			
3	3-6	Dave	Brother 	dave.brother@TOJam.com	Hey	Sup man? Hope ur feeling mellow for the holidays. Im not big into gifts you know me, just going with the flow with the coastal living. The man cave could use something that gives off some primal masculine energy. Wood tones, earthy notes, warm, something deep, you know? Anyways I know you know what I’m talking about, you keep it real.	Wood Tones, Earthy Notes, Warm, Deep	3-2-4	3-2-3		FALSE	Whisky? Cologne? Aftershave?
3	3-7	Julian	Nephew	julian.nephew@TOJam.com	ZOOOOOOM	Hi Uncle Fred. I want something red, powerful, zoomy, with lots of sounds that go click clack. Okay bye	Red, Powerful, Zoomy, Click-Clack	1-2-2	1-2-1; 1-2-3; 1-2-4; 1-3-1		FALSE	RED, ZOOM, POWER, Has buttons and switches (Camera, RC Car, Console) - maybe parent has adendum at end of email about switches, plant console idea in level 2
3	3-8	Jean	MIL	jean.mother-in-law@TOJam.com	Hi Fred...	Hi Fred... Lots of snow here at the farm, it’s really beautiful... Though sometimes I wish I could bring a bit of the outside indoors to remind us that spring is just around the corner.... Anyway, looking forward to seeing all of you...	Bring the Outside Indoors, Spring	5-2-1	5-2-2; 5-2-3	Older model of 2-3	FALSE	
